Common name,GPCRdb ID,Type,Reference ligand,Fold selectivity (Affinity),# tested GPCRs (Affinity),Species,Mol weight,Rot bonds,H don,H acc,LogP,Smiles
CHEMBL211480,79201,Smallmolecule,None,-,1,Human,408,8,1,3,5,COc1cccc2c1CC(N(CCCc1c[nH]c3ccc(F)cc13)CC1CC1)CO2
CHEMBL212039,79402,Smallmolecule,None,1,2,Human,456,8,1,6,2,COc1ccccc1N1CCN(CCCN2C(=O)C[C@H](NC(=O)C3CCCCC3)C2=O)CC1
CHEMBL212309,79469,Smallmolecule,None,-,1,Human,522,9,1,5,3.9,COc1ccccc1N1CCN(CCCCNC(=O)[C@H]2CCCN2C(=O)C23CC4CC(CC(C4)C2)C3)CC1
CHEMBL212370,79481,Smallmolecule,None,-239,6,Human,326,3,0,4,3.3,Clc1ccc(N2CCN(Cc3cn4ccccc4n3)CC2)cc1
CHEMBL212631,79545,Smallmolecule,None,-776,6,Human,322,4,0,5,2.7,COc1ccccc1N1CCN(Cc2cn3ccccc3n2)CC1
CHEMBL214739,80087,Smallmolecule,None,1,2,Human,318,7,0,2,5.1,COc1cccc(CCc2ccccc2OCc2ccccc2)c1
CHEMBL215010,80180,Smallmolecule,None,1,2,Human,288,6,0,1,5.1,c1ccc(CCc2ccccc2OCc2ccccc2)cc1
CHEMBL216198,81156,Smallmolecule,None,1,2,Human,289,6,0,2,4.4,c1ccc(CCc2ccccc2OCc2ccccn2)cc1
CHEMBL217281,81991,Smallmolecule,None,1,2,Human,319,7,0,3,4.5,COc1cccc(CCc2ccccc2OCc2cccnc2)c1
CHEMBL217425,82014,Smallmolecule,None,1,2,Human,289,6,0,2,4.4,c1ccc(CCc2ccccc2OCc2cccnc2)cc1
CHEMBL217886,82179,Smallmolecule,None,1,2,Human,348,8,0,3,5.1,COc1cccc(CCc2ccccc2OCc2cccc(OC)c2)c1
ADOPRAZINE,83927,Smallmolecule,None,2,9,Human,405,4,0,5,4,Fc1ccc(-c2cncc(CN3CCN(c4cccc5c4OCCO5)CC3)c2)cc1
CHEMBL252228,94175,Smallmolecule,UNDEFINED,-3,3,Human,448,7,1,5,4.6,CCCC(=O)NC1CCc2cc(CCN3CCN(c4nsc5ccccc45)CC3)ccc21
CHEMBL252228,94175,Smallmolecule,UNDEFINED,-3,3,Human,448,7,1,5,4.6,CCCC(=O)NC1CCc2cc(CCN3CCN(c4nsc5ccccc45)CC3)ccc21
CHEMBL377153,137836,Smallmolecule,None,-1,2,Human,522,9,1,5,3.9,COc1ccccc1N1CCN(CCCCNC(=O)[C@@H]2CCCN2C(=O)C23CC4CC(CC(C4)C2)C3)CC1
CHEMBL378073,138252,Smallmolecule,UNDEFINED,-,1,Human,396,8,1,3,5,CCCN(CCCc1c[nH]c2ccc(F)cc12)C1COc2cccc(OC)c2C1
CHEMBL378073,138252,Smallmolecule,UNDEFINED,-,1,Human,396,8,1,3,5,CCCN(CCCc1c[nH]c2ccc(F)cc12)C1COc2cccc(OC)c2C1
CHEMBL378298,138374,Smallmolecule,None,-1,3,Human,470,9,1,6,2.4,COc1ccccc1N1CCN(CCCCN2C(=O)C[C@H](NC(=O)C3CCCCC3)C2=O)CC1
CHEMBL378515,138429,Smallmolecule,None,-15,6,Human,357,4,0,6,2.7,COc1ccccc1N1CCN(Cc2cn3nc(Cl)ccc3n2)CC1
CHEMBL378680,138588,Smallmolecule,None,-1949,6,Human,360,3,0,4,4,Clc1ccc(N2CCN(Cc3cn4ccccc4n3)CC2)cc1Cl
CHEMBL380054,139556,Smallmolecule,None,-83,6,Human,310,3,0,4,2.8,Fc1ccc(N2CCN(Cc3cn4ccccc4n3)CC2)cc1
CHEMBL380262,139621,Smallmolecule,None,-,1,Human,450,8,1,6,1.8,COc1ccccc1N1CCN(CCCN2C(=O)C[C@H](NC(=O)c3ccccc3)C2=O)CC1
CHEMBL384538,140976,Smallmolecule,None,1,2,Human,496,7,2,4,6.7,C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)C[C@@H]2OC(=O)C(=C)[C@H]2CCCC)C[C@@H](O)[C@H](C)[C@@H]1O
CHEMBL386288,141279,Smallmolecule,UNDEFINED,-,1,Human,408,7,1,3,5.1,COc1cccc2c1CC(N(CCCc1c[nH]c3ccc(F)cc13)C1CCC1)CO2
CHEMBL386288,141279,Smallmolecule,UNDEFINED,-,1,Human,408,7,1,3,5.1,COc1cccc2c1CC(N(CCCc1c[nH]c3ccc(F)cc13)C1CCC1)CO2
CHEMBL387052,141399,Smallmolecule,None,1,2,Human,319,7,0,3,4.5,COc1cccc(CCc2ccccc2OCc2ccccn2)c1
CHEMBL410681,159336,Smallmolecule,None,-,1,Human,510,10,1,6,3.1,COc1ccccc1N1CCN(CCCCNC(=O)[C@@H]2CCC(=O)N2C(=O)CC2CC3CCC2C3)CC1
CHEMBL424692,165209,Smallmolecule,None,-,1,Human,496,10,1,5,3.5,COc1ccccc1N1CCN(CCCCNC(=O)[C@@H]2CCCN2C(=O)CC2CC3CCC2C3)CC1
CHEMBL424871,165283,Smallmolecule,None,-,1,Human,496,10,1,6,2.7,COc1ccccc1N1CCN(CCCCN2C(=O)C[C@@H](NC(=O)CC3CC4CCC3C4)C2=O)CC1
CHEMBL429150,166646,Smallmolecule,None,-,1,Human,464,9,1,6,2.2,COc1ccccc1N1CCN(CCCCN2C(=O)C[C@H](NC(=O)c3ccccc3)C2=O)CC1
FAUC113,203591,Smallmolecule,None,-524,10,Human,326,3,0,4,3.3,Clc1ccc(N2CCN(Cc3cnn4ccccc34)CC2)cc1
NGB2904,2777,Smallmolecule,None,-1659,8,Human,493,7,1,3,5.9,O=C(c1ccc2c(c1)Cc1c2cccc1)NCCCCN1CCN(CC1)c1cccc(c1Cl)Cl
PG01037,3025,Smallmolecule,None,-114,6,Human,480,7,1,4,5.2,O=C(c1ccc(cc1)c1ccccn1)NC/C=C/CN1CCN(CC1)c1cccc(c1Cl)Cl
CHEMBL110365,9105,Smallmolecule,None,-85,6,Human,455,8,1,4,4.6,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3c(c2)Cc2ccccc2-3)CC1
CHEMBL231156,85712,Smallmolecule,None,-58,5,Human,494,7,1,4,5.2,O=C(NC[C@H]1C[C@@H]1CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(-c2ccccn2)cc1
CHEMBL241973,91691,Smallmolecule,None,-16,5,Human,444,9,1,5,4.1,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc(-c3ccccn3)cc2)CC1
CHEMBL242434,91752,Smallmolecule,None,-10,5,Human,540,9,1,6,4.9,CC(=O)OC(CCNC(=O)c1ccc(-c2ccccn2)cc1)CN1CCN(c2cccc(Cl)c2Cl)CC1
CHEMBL242644,91807,Smallmolecule,None,-8,6,Human,460,9,2,6,3.1,COc1ccccc1N1CCN(CC(O)CCNC(=O)c2ccc(-c3ccccn3)cc2)CC1
CHEMBL237790,89448,Smallmolecule,UNDEFINED,-,1,Human,272,6,2,2,3.9,c1cc(OCCCNC2CCCCC2)c2cc[nH]c2c1
CHEMBL237790,89448,Smallmolecule,UNDEFINED,-,1,Human,272,6,2,2,3.9,c1cc(OCCCNC2CCCCC2)c2cc[nH]c2c1
CHEMBL243523,92154,Smallmolecule,UNDEFINED,-11,3,Human,433,9,1,3,5.1,CCc1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc32)CC1
CHEMBL243523,92154,Smallmolecule,UNDEFINED,-11,3,Human,433,9,1,3,5.1,CCc1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc32)CC1
CHEMBL243742,92396,Smallmolecule,UNDEFINED,-3,3,Human,447,10,1,3,5.5,CCCc1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc32)CC1
CHEMBL243742,92396,Smallmolecule,UNDEFINED,-3,3,Human,447,10,1,3,5.5,CCCc1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc32)CC1
CHEMBL243744,92412,Smallmolecule,UNDEFINED,-151,3,Human,447,9,1,3,5.7,CC(C)c1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc32)CC1
CHEMBL243744,92412,Smallmolecule,UNDEFINED,-151,3,Human,447,9,1,3,5.7,CC(C)c1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc32)CC1
CHEMBL243953,92431,Smallmolecule,UNDEFINED,-2,3,Human,461,8,1,3,5.9,CC(C)(C)c1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc32)CC1
CHEMBL243953,92431,Smallmolecule,UNDEFINED,-2,3,Human,461,8,1,3,5.9,CC(C)(C)c1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc32)CC1
CHEMBL243955,92432,Smallmolecule,UNDEFINED,-125,3,Human,448,9,1,4,4.6,CN(C)c1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc32)CC1
CHEMBL243955,92432,Smallmolecule,UNDEFINED,-125,3,Human,448,9,1,4,4.6,CN(C)c1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc32)CC1
CHEMBL244161,92575,Smallmolecule,UNDEFINED,-6,4,Human,434,9,2,4,4.6,CNc1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc32)CC1
CHEMBL244161,92575,Smallmolecule,UNDEFINED,-6,4,Human,434,9,2,4,4.6,CNc1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc32)CC1
CHEMBL244162,92580,Smallmolecule,UNDEFINED,19,2,Human,420,8,2,4,4.1,Nc1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc32)CC1
CHEMBL244162,92580,Smallmolecule,UNDEFINED,19,2,Human,420,8,2,4,4.1,Nc1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc32)CC1
CHEMBL244562,92767,Smallmolecule,None,-48,5,Human,496,7,2,4,4.5,O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(-c2cccc(=O)[nH]2)cc1
CHEMBL244577,92770,Smallmolecule,UNDEFINED,4,3,Human,423,8,1,3,4.7,O=C(CCCCCN1CCN(c2ccccc2F)CC1)NC1CCCc2ccccc21
CHEMBL244577,92770,Smallmolecule,UNDEFINED,4,3,Human,423,8,1,3,4.7,O=C(CCCCCN1CCN(c2ccccc2F)CC1)NC1CCCc2ccccc21
CHEMBL244773,92790,Smallmolecule,None,-57,5,Human,494,7,1,4,5.5,Cc1cccnc1-c1ccc(C(=O)NC/C=C/CN2CCN(c3cccc(Cl)c3Cl)CC2)cc1
CHEMBL244774,92791,Smallmolecule,None,-54,5,Human,496,7,1,4,4.4,O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(-c2cccc[n+]2[O-])cc1
CHEMBL244775,92792,Smallmolecule,None,-13,5,Human,496,7,1,4,5.2,O=C(NC/C=C/C[N+]1([O-])CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(-c2ccccn2)cc1
CHEMBL244792,92799,Smallmolecule,UNDEFINED,41,2,Human,422,8,1,4,3.2,O=C(CCCCCN1CCN(c2cccc[n+]2[O-])CC1)NC1CCCc2ccccc21
CHEMBL244792,92799,Smallmolecule,UNDEFINED,41,2,Human,422,8,1,4,3.2,O=C(CCCCCN1CCN(c2cccc[n+]2[O-])CC1)NC1CCCc2ccccc21
CHEMBL244989,92841,Smallmolecule,None,-19,5,Human,453,7,1,4,4.4,COc1ccccc1N1CCN(C/C=C/CNC(=O)c2ccc3c(c2)Cc2ccccc2-3)CC1
CHEMBL244990,92843,Smallmolecule,None,-11,6,Human,498,8,2,5,4.4,O=C(NCCC(O)CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(-c2ccccn2)cc1
CHEMBL304605,102205,Smallmolecule,None,-263,8,Human,491,6,1,3,5.7,O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2c(c1)Cc1ccccc1-2
CHEMBL389110,142044,Smallmolecule,UNDEFINED,-7,3,Human,462,9,2,4,4.5,CC(=O)Nc1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc32)CC1
CHEMBL389110,142044,Smallmolecule,UNDEFINED,-7,3,Human,462,9,2,4,4.5,CC(=O)Nc1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc32)CC1
CHEMBL390213,143389,Smallmolecule,UNDEFINED,7,3,Human,406,8,1,4,4,O=C(CCCCCN1CCN(c2ccccn2)CC1)NC1CCCc2ccccc21
CHEMBL390213,143389,Smallmolecule,UNDEFINED,7,3,Human,406,8,1,4,4,O=C(CCCCCN1CCN(c2ccccn2)CC1)NC1CCCc2ccccc21
CHEMBL390253,143429,Smallmolecule,None,-30,5,Human,498,8,2,5,4.4,O=C(NCC(O)CCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(-c2ccccn2)cc1
CHEMBL394541,148846,Smallmolecule,None,-7,5,Human,442,8,1,5,3.9,COc1ccccc1N1CCN(C/C=C/CNC(=O)c2ccc(-c3ccccn3)cc2)CC1
CHEMBL394863,149276,Smallmolecule,None,-6,6,Human,494,7,1,4,5.2,O=C(NC[C@H]1C[C@H]1CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(-c2ccccn2)cc1
CHEMBL396024,150721,Smallmolecule,None,-1000,5,Human,509,7,2,4,4.9,O=C(NCCC(O)CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2c(c1)Cc1ccccc1-2
CHEMBL398175,153199,Smallmolecule,None,-218,5,Human,494,7,1,4,5.5,Cc1cccc(-c2ccc(C(=O)NC/C=C/CN3CCN(c4cccc(Cl)c4Cl)CC3)cc2)n1
CHEMBL69451,202275,Smallmolecule,None,-38,7,Human,482,8,1,4,5.4,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(-c2ccccn2)cc1
CHEMBL131495,21216,Smallmolecule,None,-3,10,Human,417,6,1,3,4.5,O=C1c2ccccc2C(=O)N1CCCCN1CC=C(c2c[nH]c3ccc(F)cc23)CC1
CHEMBL196514,71356,Smallmolecule,None,-10,9,Human,422,5,2,4,3.8,C[C@H]1Oc2c(cccc2N2CCN(CCCc3c[nH]c4ccc(F)cc34)CC2)NC1=O
CHEMBL233210,86893,Smallmolecule,None,-29,4,Human,454,5,1,5,4,C[C@H]1CN(c2cccc3cc(C#N)ccc23)CCN1CC[C@@H]1OCCc2cc(C(N)=O)ccc21
CHEMBL233591,87155,Smallmolecule,None,-,1,Human,417,7,1,3,5.5,CCCN(CCCc1c[nH]c2ccc(F)cc12)C1COc2ccc3ncccc3c2C1
CHEMBL234448,87598,Smallmolecule,None,-1,4,Human,447,5,1,4,4.3,C[C@@H]1CN(c2cccc3cc(F)ccc23)CCN1CC[C@H]1OCCc2cc(C(N)=O)ccc21
CHEMBL234853,87913,Smallmolecule,None,-,1,Human,375,5,2,3,4.4,Fc1ccc2[nH]cc(CCCNC3COc4ccc5ncccc5c4C3)c2c1
CHEMBL234875,87916,Smallmolecule,None,-,1,Human,403,6,1,3,5.1,CCCN(CCc1c[nH]c2ccc(F)cc12)C1COc2ccc3ncccc3c2C1
CHEMBL3706923,132953,Smallmolecule,None,1,4,Human,433,5,1,4,4.3,C[C@H]1CN(c2cccc3cc(F)ccc23)CCN1CC[C@@H]1OCc2cc(C(N)=O)ccc21
CHEMBL3706924,132954,Smallmolecule,None,5,3,Human,433,5,1,4,4.3,C[C@H]1CN(c2cccc3cc(F)ccc23)CCN1CC[C@H]1OCc2cc(C(N)=O)ccc21
CHEMBL391271,144704,Smallmolecule,None,-16,4,Human,447,5,1,4,4.3,C[C@@H]1CN(c2cccc3cc(F)ccc23)CCN1CC[C@@H]1OCCc2cc(C(N)=O)ccc21
CHEMBL391272,144706,Smallmolecule,None,-21,3,Human,447,5,1,4,4.3,C[C@H]1CN(c2ccc3cc(F)ccc3c2)CCN1CC[C@@H]1OCCc2cc(C(N)=O)ccc21
CHEMBL391273,144708,Smallmolecule,None,-15,4,Human,440,5,1,5,3.6,N#Cc1ccc2c(N3CCN(CC[C@@H]4OCCc5cc(C(N)=O)ccc54)CC3)cccc2c1
CHEMBL391531,145048,Smallmolecule,None,-,1,Human,375,5,2,3,4.4,Fc1ccc2[nH]cc(CCCNC3COc4c(ccc5ncccc45)C3)c2c1
CHEMBL395586,150153,Smallmolecule,None,-,1,Human,354,6,2,3,3.8,COc1cccc2c1CC(NCCCc1c[nH]c3ccc(F)cc13)CO2
CHEMBL236312,88346,Smallmolecule,None,-,1,Human,302,6,3,3,3.2,C[C@](O)(CNC1CCCCC1)COc1cccc2[nH]ccc12
CHEMBL236315,88349,Smallmolecule,None,-,1,Human,354,6,3,3,3.9,C[C@](O)(CNC12CC3CC(CC(C3)C1)C2)COc1cccc2[nH]ccc12
CHEMBL236514,88648,Smallmolecule,None,1,3,Human,340,6,3,3,3.5,O[C@@H](CNC12CC3CC(CC(C3)C1)C2)COc1cccc2[nH]ccc12
CHEMBL236515,88651,Smallmolecule,None,-,1,Human,340,6,3,3,3.3,O[C@@H](CNC1C2CC3CC(C2)CC1C3)COc1cccc2[nH]ccc12
CHEMBL236517,88652,Smallmolecule,UNDEFINED,-,1,Human,354,7,3,3,3.9,OC(CCOc1cccc2[nH]ccc12)CNC12CC3CC(CC(C3)C1)C2
CHEMBL236517,88652,Smallmolecule,UNDEFINED,-,1,Human,354,7,3,3,3.9,OC(CCOc1cccc2[nH]ccc12)CNC12CC3CC(CC(C3)C1)C2
CHEMBL236518,88653,Smallmolecule,UNDEFINED,-,1,Human,302,7,3,3,3.2,OC(CCNC1CCCCC1)COc1cccc2[nH]ccc12
CHEMBL236518,88653,Smallmolecule,UNDEFINED,-,1,Human,302,7,3,3,3.2,OC(CCNC1CCCCC1)COc1cccc2[nH]ccc12
CHEMBL237572,89217,Smallmolecule,UNDEFINED,-1,3,Human,340,6,3,3,3.5,OC(CNC12CC3CC(CC(C3)C1)C2)COc1cccc2[nH]ccc12
CHEMBL237572,89217,Smallmolecule,UNDEFINED,-1,3,Human,340,6,3,3,3.5,OC(CNC12CC3CC(CC(C3)C1)C2)COc1cccc2[nH]ccc12
CHEMBL237749,89394,Smallmolecule,UNDEFINED,-,1,Human,302,6,3,3,3.2,OC(CNC1CCCCCC1)COc1cccc2[nH]ccc12
CHEMBL237749,89394,Smallmolecule,UNDEFINED,-,1,Human,302,6,3,3,3.2,OC(CNC1CCCCCC1)COc1cccc2[nH]ccc12
CHEMBL237759,89413,Smallmolecule,UNDEFINED,-,1,Human,340,6,3,3,3.5,OC(CNC12CC3CC(CC(C3)C1)C2)COc1ccc2[nH]ccc2c1
CHEMBL237759,89413,Smallmolecule,UNDEFINED,-,1,Human,340,6,3,3,3.5,OC(CNC12CC3CC(CC(C3)C1)C2)COc1ccc2[nH]ccc2c1
CHEMBL237787,89445,Smallmolecule,UNDEFINED,-,1,Human,274,6,3,3,2.4,OC(CNC1CCCC1)COc1cccc2[nH]ccc12
CHEMBL237787,89445,Smallmolecule,UNDEFINED,-,1,Human,274,6,3,3,2.4,OC(CNC1CCCC1)COc1cccc2[nH]ccc12
CHEMBL237789,89447,Smallmolecule,UNDEFINED,-,1,Human,276,8,3,3,2.7,CCC(CC)NCC(O)COc1cccc2[nH]ccc12
CHEMBL237789,89447,Smallmolecule,UNDEFINED,-,1,Human,276,8,3,3,2.7,CCC(CC)NCC(O)COc1cccc2[nH]ccc12
CHEMBL391230,144640,Smallmolecule,UNDEFINED,-,1,Human,354,7,3,3,3.9,OC(CCNC12CC3CC(CC(C3)C1)C2)COc1cccc2[nH]ccc12
CHEMBL391230,144640,Smallmolecule,UNDEFINED,-,1,Human,354,7,3,3,3.9,OC(CCNC12CC3CC(CC(C3)C1)C2)COc1cccc2[nH]ccc12
CHEMBL392392,146164,Smallmolecule,UNDEFINED,-,1,Human,258,6,2,2,3.5,c1cc(OCCCNC2CCCC2)c2cc[nH]c2c1
CHEMBL392392,146164,Smallmolecule,UNDEFINED,-,1,Human,258,6,2,2,3.5,c1cc(OCCCNC2CCCC2)c2cc[nH]c2c1
CHEMBL393522,147576,Smallmolecule,None,-,1,Human,340,6,3,3,3.5,O[C@H](CNC12CC3CC(CC(C3)C1)C2)COc1cccc2[nH]ccc12
CHEMBL393648,147729,Smallmolecule,None,-1,3,Human,288,6,3,3,2.8,O[C@@H](CNC1CCCCC1)COc1cccc2[nH]ccc12
CHEMBL396185,150899,Smallmolecule,UNDEFINED,-3,3,Human,288,6,3,3,2.8,OC(CNC1CCCCC1)COc1cccc2[nH]ccc12
CHEMBL396185,150899,Smallmolecule,UNDEFINED,-3,3,Human,288,6,3,3,2.8,OC(CNC1CCCCC1)COc1cccc2[nH]ccc12
CHEMBL396430,151170,Smallmolecule,UNDEFINED,-,1,Human,302,7,3,3,3.2,OC(CCOc1cccc2[nH]ccc12)CNC1CCCCC1
CHEMBL396430,151170,Smallmolecule,UNDEFINED,-,1,Human,302,7,3,3,3.2,OC(CCOc1cccc2[nH]ccc12)CNC1CCCCC1
CHEMBL397053,151876,Smallmolecule,None,-,1,Human,288,6,3,3,2.8,O[C@H](CNC1CCCCC1)COc1cccc2[nH]ccc12
CHEMBL410364,159097,Smallmolecule,UNDEFINED,-,1,Human,354,7,2,3,4.1,COC(CNC12CC3CC(CC(C3)C1)C2)COc1cccc2[nH]ccc12
CHEMBL410364,159097,Smallmolecule,UNDEFINED,-,1,Human,354,7,2,3,4.1,COC(CNC12CC3CC(CC(C3)C1)C2)COc1cccc2[nH]ccc12
CHEMBL412022,160718,Smallmolecule,UNDEFINED,-,1,Human,262,7,3,3,2.3,CC(C)NCC(O)CCOc1cccc2[nH]ccc12
CHEMBL412022,160718,Smallmolecule,UNDEFINED,-,1,Human,262,7,3,3,2.3,CC(C)NCC(O)CCOc1cccc2[nH]ccc12
CHEMBL238519,89864,Smallmolecule,None,50,10,Human,483,6,1,5,5,Cc1ccc2c(OCCN3CCC(Cc4ccc5c(c4F)NC(=O)CO5)CC3)cc(Cl)cc2n1
CHEMBL238520,89865,Smallmolecule,None,100,10,Human,467,6,1,5,4.5,Cc1ccc2c(OCCN3CCC(Cc4cc5c(cc4F)OCC(=O)N5)CC3)cc(F)cc2n1
CHEMBL238730,90104,Smallmolecule,None,19,5,Human,467,6,1,5,4.5,Cc1ccc2c(OCCN3CCC(Cc4cc(F)c5c(c4)NC(=O)CO5)CC3)cc(F)cc2n1
CHEMBL238732,90126,Smallmolecule,None,7,10,Human,483,6,1,5,5,Cc1ccc2c(OCCN3CCC(Cc4cc(F)c5c(c4)NC(=O)CO5)CC3)cc(Cl)cc2n1
CHEMBL239166,90339,Smallmolecule,None,501,3,Human,465,6,1,5,4.9,Cc1ccc2c(OCCN3CCC(Cc4ccc5c(c4)NC(=O)CO5)CC3)cc(Cl)cc2n1
CHEMBL239167,90340,Smallmolecule,None,12,3,Human,456,6,1,6,4.1,Cc1ccc2c(OCCN3CCC(Cc4ccc5c(c4)NC(=O)CO5)CC3)cc(C#N)cc2n1
CHEMBL239168,90341,Smallmolecule,None,6,3,Human,449,6,1,5,4.3,Cc1ccc2c(OCCN3CCC(Cc4cc5c(cc4F)OCC(=O)N5)CC3)cccc2n1
CHEMBL241463,91522,Smallmolecule,None,-12,3,Human,449,6,1,5,4.3,Cc1ccc2c(OCCN3CCC(Cc4cc(F)c5c(c4)NC(=O)CO5)CC3)cccc2n1
CHEMBL241499,91544,Smallmolecule,None,3,3,Human,449,6,1,5,4.3,Cc1ccc2c(OCCN3CCC(Cc4ccc5c(c4)NC(=O)CO5)CC3)ccc(F)c2n1
CHEMBL241500,91548,Smallmolecule,None,1,3,Human,465,6,1,5,4.9,Cc1ccc2c(OCCN3CCC(Cc4ccc5c(c4)NC(=O)CO5)CC3)ccc(Cl)c2n1
CHEMBL241503,91551,Smallmolecule,None,-3,3,Human,449,6,1,5,4.3,Cc1ccc2c(OCCN3CCC(Cc4ccc5c(c4F)NC(=O)CO5)CC3)cccc2n1
CHEMBL246597,93163,Smallmolecule,None,1,3,Human,445,6,0,5,4.2,Cc1ccc2c(OCCN3CCC(Cc4ccc5c(c4)N(C)C(=O)CO5)CC3)cccc2n1
CHEMBL246598,93164,Smallmolecule,None,1,3,Human,459,7,0,5,4.6,CCN1C(=O)COc2ccc(CC3CCN(CCOc4cccc5nc(C)ccc45)CC3)cc21
CHEMBL246599,93165,Smallmolecule,None,-1,3,Human,474,8,0,6,3.9,CCCN1C(=O)COc2ccc(CN3CCN(CCOc4cccc5nc(C)ccc45)CC3)cc21
CHEMBL247428,93336,Smallmolecule,None,-39,3,Human,464,6,0,6,3.2,Cc1ccc2c(OCCN3CCN(Cc4cc(F)c5c(c4)N(C)C(=O)CO5)CC3)cccc2n1
CHEMBL247609,93377,Smallmolecule,None,-6,3,Human,464,6,0,6,3.2,Cc1ccc2c(OCCN3CCN(Cc4ccc5c(c4F)N(C)C(=O)CO5)CC3)cccc2n1
CHEMBL248229,93494,Smallmolecule,None,2,3,Human,488,9,0,6,4.3,CCCCN1C(=O)COc2ccc(CN3CCN(CCOc4cccc5nc(C)ccc45)CC3)cc21
CHEMBL248230,93495,Smallmolecule,None,1,3,Human,488,8,0,6,4.1,Cc1ccc2c(OCCN3CCN(Cc4ccc5c(c4)N(CC(C)C)C(=O)CO5)CC3)cccc2n1
CHEMBL248231,93496,Smallmolecule,None,1,3,Human,522,8,0,6,4.7,Cc1ccc2c(OCCN3CCN(Cc4ccc5c(c4)N(Cc4ccccc4)C(=O)CO5)CC3)cccc2n1
CHEMBL248407,93525,Smallmolecule,None,-3,3,Human,536,9,0,6,4.7,Cc1ccc2c(OCCN3CCN(Cc4ccc5c(c4)N(CCc4ccccc4)C(=O)CO5)CC3)cccc2n1
CHEMBL248456,93535,Smallmolecule,None,2,3,Human,473,7,0,5,5,Cc1ccc2c(OCCN3CCC(Cc4ccc5c(c4)N(C(C)C)C(=O)CO5)CC3)cccc2n1
CHEMBL248457,93536,Smallmolecule,None,1,3,Human,432,6,1,6,3.1,Cc1ccc2c(OCCN3CCN(Cc4ccc5c(c4)NC(=O)CO5)CC3)cccc2n1
CHEMBL248458,93537,Smallmolecule,None,-7,3,Human,460,7,0,6,3.5,CCN1C(=O)COc2ccc(CN3CCN(CCOc4cccc5nc(C)ccc45)CC3)cc21
CHEMBL252230,94178,Smallmolecule,UNDEFINED,-4,3,Human,446,6,1,5,4.2,O=C(NC1CCc2cc(CCN3CCN(c4nsc5ccccc45)CC3)ccc21)C1CC1
CHEMBL252230,94178,Smallmolecule,UNDEFINED,-4,3,Human,446,6,1,5,4.2,O=C(NC1CCc2cc(CCN3CCN(c4nsc5ccccc45)CC3)ccc21)C1CC1
CHEMBL252258,94185,Smallmolecule,None,-46,7,Human,508,4,2,3,5.1,CC(=O)N1C2C=C(CN3C4CCC3CC(NC(=O)Nc3cc(F)cc(C(F)(F)F)c3)C4)CC1CCC2
CHEMBL252429,94208,Smallmolecule,UNDEFINED,-4,4,Human,500,6,1,5,5.2,O=C(NC1CCc2cc(CCN3CCN(c4nsc5ccccc45)CC3)ccc21)c1ccc(F)cc1
CHEMBL252429,94208,Smallmolecule,UNDEFINED,-4,4,Human,500,6,1,5,5.2,O=C(NC1CCc2cc(CCN3CCN(c4nsc5ccccc45)CC3)ccc21)c1ccc(F)cc1
CHEMBL252430,94209,Smallmolecule,UNDEFINED,-11,4,Human,483,6,1,6,4.5,O=C(NC1CCc2cc(CCN3CCN(c4nsc5ccccc45)CC3)ccc21)c1cccnc1
CHEMBL252430,94209,Smallmolecule,UNDEFINED,-11,4,Human,483,6,1,6,4.5,O=C(NC1CCc2cc(CCN3CCN(c4nsc5ccccc45)CC3)ccc21)c1cccnc1
